dt,product,industry,apps
1/1/21,B,Financial Services,39
1/1/21,B,Retail,70
1/1/21,B,Beauty Industry,31
1/1/21,B,Construction,6
1/1/21,B,Transportation,76
1/1/21,B,Communication Services,236
1/1/21,B,Consulting,39
1/1/21,B,Janitorial Services,10
1/1/21,A,Financial Services,11
1/1/21,A,Retail,29
1/1/21,A,Beauty Industry,14
1/1/21,A,Construction,4
1/1/21,A,Agriculture,4
1/1/21,A,Transportation,55
1/1/21,A,Communication Services,123
1/1/21,A,Consulting,13
1/1/21,A,Janitorial Services,13
1/2/21,B,Financial Services,29
1/2/21,B,Retail,66
1/2/21,B,Beauty Industry,28
1/2/21,B,Transportation,98
1/2/21,B,Communication Services,224
1/2/21,B,Consulting,24
1/2/21,B,Janitorial Services,25
1/2/21,A,Financial Services,11
1/2/21,A,Retail,37
1/2/21,A,Beauty Industry,16
1/2/21,A,Construction,6
1/2/21,A,Transportation,53
1/2/21,A,Communication Services,112
1/2/21,A,Consulting,18
1/2/21,A,Janitorial Services,15
1/3/21,B,Financial Services,33
1/3/21,B,Retail,101
1/3/21,B,Beauty Industry,38
1/3/21,B,Construction,6
1/3/21,B,Transportation,68
1/3/21,B,Communication Services,262
1/3/21,B,Consulting,38
1/3/21,B,Janitorial Services,18
1/3/21,A,Financial Services,13
1/3/21,A,Retail,41
1/3/21,A,Beauty Industry,19
1/3/21,A,Construction,5
1/3/21,A,Agriculture,3
1/3/21,A,Transportation,54
1/3/21,A,Communication Services,128
1/3/21,A,Consulting,19
1/3/21,A,Janitorial Services,18
1/4/21,B,Financial Services,73
1/4/21,B,Retail,213
1/4/21,B,Beauty Industry,91
1/4/21,B,Construction,16
1/4/21,B,Agriculture,4
1/4/21,B,Transportation,187
1/4/21,B,Communication Services,753
1/4/21,B,Consulting,96
1/4/21,B,Janitorial Services,69
1/4/21,A,Financial Services,33
1/4/21,A,Retail,71
1/4/21,A,Beauty Industry,37
1/4/21,A,Construction,9
1/4/21,A,Agriculture,4
1/4/21,A,Transportation,85
1/4/21,A,Communication Services,192
